Index,YR,MON,ANOM
1,1950,1,-1.62
2,1950,2,-1.32
3,1950,3,-1.07
4,1950,4,-1.11
5,1950,5,-1.37
6,1950,6,-0.74
7,1950,7,-0.44
8,1950,8,-0.42
9,1950,9,-0.41
10,1950,10,-0.32
11,1950,11,-0.6
12,1950,12,-0.88
13,1951,1,-0.92
14,1951,2,-0.66
15,1951,3,-0.04
16,1951,4,0.2
17,1951,5,0.37
18,1951,6,0.52
19,1951,7,0.87
20,1951,8,0.71
21,1951,9,1.08
22,1951,10,1.19
23,1951,11,1.19
24,1951,12,0.74
25,1952,1,0.49
26,1952,2,0.37
27,1952,3,0.24
28,1952,4,0.42
29,1952,5,0.23
30,1952,6,-0.03
31,1952,7,-0.2
32,1952,8,0
33,1952,9,0.21
34,1952,10,0.25
35,1952,11,-0.14
36,1952,12,0.03
37,1953,1,0.56
38,1953,2,0.61
39,1953,3,0.62
40,1953,4,0.64
41,1953,5,0.71
42,1953,6,0.9
43,1953,7,0.7
44,1953,8,0.63
45,1953,9,0.85
46,1953,10,0.86
47,1953,11,0.82
48,1953,12,0.83
49,1954,1,0.8
50,1954,2,0.64
51,1954,3,-0.04
52,1954,4,-0.74
53,1954,5,-0.45
54,1954,6,-0.42
55,1954,7,-0.62
56,1954,8,-0.88
57,1954,9,-1.03
58,1954,10,-0.78
59,1954,11,-0.5
60,1954,12,-0.91
61,1955,1,-0.56
62,1955,2,-0.57
63,1955,3,-0.72
64,1955,4,-0.78
65,1955,5,-0.91
66,1955,6,-0.67
67,1955,7,-0.58
68,1955,8,-0.8
69,1955,9,-0.87
70,1955,10,-1.6
71,1955,11,-1.81
72,1955,12,-1.61
73,1956,1,-0.99
74,1956,2,-0.74
75,1956,3,-0.54
76,1956,4,-0.6
77,1956,5,-0.46
78,1956,6,-0.48
79,1956,7,-0.58
80,1956,8,-0.65
81,1956,9,-0.43
82,1956,10,-0.29
83,1956,11,-0.54
84,1956,12,-0.47
85,1957,1,-0.29
86,1957,2,0.02
87,1957,3,0.45
88,1957,4,0.77
89,1957,5,0.94
90,1957,6,1.05
91,1957,7,1.34
92,1957,8,1.36
93,1957,9,1.27
94,1957,10,1.37
95,1957,11,1.52
96,1957,12,1.71
97,1958,1,1.98
98,1958,2,1.72
99,1958,3,1.26
100,1958,4,0.81
101,1958,5,0.71
102,1958,6,0.69
103,1958,7,0.51
104,1958,8,0.52
105,1958,9,0.25
106,1958,10,0.41
107,1958,11,0.65
108,1958,12,0.44
109,1959,1,0.74
110,1959,2,0.67
111,1959,3,0.46
112,1959,4,0.42
113,1959,5,0.1
114,1959,6,0.07
115,1959,7,-0.37
116,1959,8,-0.24
117,1959,9,-0.23
118,1959,10,0.2
119,1959,11,-0.06
120,1959,12,0
121,1960,1,-0.07
122,1960,2,-0.22
123,1960,3,-0.02
124,1960,4,0.03
125,1960,5,0.08
126,1960,6,-0.06
127,1960,7,0.07
128,1960,8,0.36
129,1960,9,0.28
130,1960,10,0.18
131,1960,11,0.15
132,1960,12,0.04
133,1961,1,-0.04
134,1961,2,0.1
135,1961,3,0.02
136,1961,4,0
137,1961,5,0.26
138,1961,6,0.44
139,1961,7,0.11
140,1961,8,-0.12
141,1961,9,-0.38
142,1961,10,-0.38
143,1961,11,-0.01
144,1961,12,-0.16
145,1962,1,-0.3
146,1962,2,-0.26
147,1962,3,-0.11
148,1962,4,-0.24
149,1962,5,-0.44
150,1962,6,-0.14
151,1962,7,0
152,1962,8,0.02
153,1962,9,-0.23
